mode,Final Selected Actions
custom_ph,"['codet5', 'codebert', 'codebert', 'codebert', 'xlnet', 'xlnet', 'codebert-java', 'graphcodebert', 'graphcodebert', 'codet5', 'codet5', 'graphcodebert', 'codebert-java', 'codet5', 'codet5', 'codebert', 'codebert-java', 'xlnet', 'codet5', 'graphcodebert']"
custom_ph,"['codebert', 'codebert', 'codet5', 'codet5', 'codet5', 'codebert', 'codet5', 'codebert-java', 'xlnet', 'codet5', 'xlnet', 'codebert-java', 'xlnet', 'graphcodebert', 'graphcodebert', 'codebert-java', 'graphcodebert', 'graphcodebert', 'codet5', 'codebert']"
custom,"['codet5', 'graphcodebert', 'graphcodebert', 'codebert-java', 'codebert-java', 'codebert', 'graphcodebert', 'xlnet', 'xlnet', 'codebert-java', 'codet5', 'graphcodebert', 'xlnet', 'graphcodebert', 'codebert', 'codebert', 'graphcodebert', 'xlnet', 'codebert-java', 'xlnet']"
simple,"['graphcodebert', 'xlnet', 'graphcodebert', 'xlnet', 'codet5', 'codebert-java', 'codebert-java', 'xlnet', 'codebert', 'codet5', 'codet5', 'codebert', 'codebert', 'codebert-java', 'codet5', 'codet5', 'codebert-java', 'codebert', 'codebert', 'codebert-java']"
simple,"['graphcodebert', 'xlnet', 'codet5', 'xlnet', 'codet5', 'codebert-java', 'codebert', 'xlnet', 'codebert', 'codet5', 'codet5', 'codebert', 'codebert', 'graphcodebert', 'codet5', 'xlnet', 'codebert-java', 'codet5', 'codebert-java', 'graphcodebert']"
simple,"['graphcodebert', 'xlnet', 'xlnet', 'codet5', 'codebert-java', 'codebert', 'xlnet', 'codebert', 'codet5', 'codet5', 'codebert', 'codebert', 'graphcodebert', 'codet5', 'xlnet', 'graphcodebert', 'graphcodebert', 'codebert-java', 'codet5', 'graphcodebert']"
simple,"['graphcodebert', 'xlnet', 'codet5', 'codebert-java', 'codebert-java', 'codebert', 'xlnet', 'codebert', 'codet5', 'codet5', 'codebert', 'codebert', 'graphcodebert', 'xlnet', 'graphcodebert', 'graphcodebert', 'codebert-java', 'codet5', 'graphcodebert', 'graphcodebert']"
simple,"['graphcodebert', 'xlnet', 'graphcodebert', 'xlnet', 'codet5', 'codebert', 'xlnet', 'codebert', 'codet5', 'codebert', 'codebert', 'graphcodebert', 'codebert-java', 'xlnet', 'graphcodebert', 'graphcodebert', 'codebert-java', 'graphcodebert', 'graphcodebert', 'graphcodebert']"
simple,"['graphcodebert', 'xlnet', 'graphcodebert', 'codet5', 'xlnet', 'codet5', 'codebert-java', 'codebert', 'codebert', 'codet5', 'codet5', 'codebert', 'codebert', 'graphcodebert', 'codebert-java', 'codet5', 'graphcodebert', 'graphcodebert', 'graphcodebert', 'graphcodebert']"
simple,"['graphcodebert', 'xlnet', 'graphcodebert', 'codet5', 'xlnet', 'codet5', 'codebert', 'codebert', 'codet5', 'codet5', 'codebert', 'graphcodebert', 'codebert-java', 'codet5', 'xlnet', 'graphcodebert', 'statistical', 'codebert-java', 'graphcodebert', 'codebert']"
simple_ph,"['graphcodebert', 'codet5', 'codebert-java', 'xlnet', 'codebert', 'codet5', 'codebert', 'graphcodebert', 'xlnet', 'statistical', 'codet5', 'xlnet', 'graphcodebert', 'graphcodebert', 'xlnet', 'graphcodebert', 'codet5', 'xlnet', 'codet5', 'codebert']"
simple_ph,"['graphcodebert', 'xlnet', 'xlnet', 'codet5', 'codebert-java', 'codebert', 'codebert', 'codebert', 'graphcodebert', 'graphcodebert', 'graphcodebert', 'graphcodebert', 'graphcodebert', 'graphcodebert', 'codet5', 'codet5', 'graphcodebert', 'xlnet', 'xlnet', 'graphcodebert']"
simple_ph,"['xlnet', 'xlnet', 'codet5', 'codebert-java', 'codebert', 'xlnet', 'graphcodebert', 'codet5', 'xlnet', 'codet5', 'codet5', 'codebert-java', 'codebert-java', 'graphcodebert', 'xlnet', 'codebert-java', 'codebert', 'codet5', 'graphcodebert', 'codebert']"
