mode,Final Selected Actions,Accuracy,AUC,TP,TN,FP,FN,Precision,Recall,F1,FP + FN
DBN,,0.9267015706806283,0.45680929741151605,1231.0,8.0,31.0,67.0,0.58,0.54,0.55,98
DBN,,0.9319371727748691,0.5890649762282092,1240.0,6.0,22.0,69.0,0.58,0.53,0.54,91
DBN,,0.9341810022438295,0.6673903856312731,1243.0,6.0,19.0,69.0,0.59,0.53,0.54,88
DBN,,0.8990276738967838,0.44472266244057046,1192.0,10.0,70.0,65.0,0.54,0.54,0.54,135
DBN,,0.9379207180254301,0.4415636555731643,1250.0,4.0,12.0,71.0,0.6,0.52,0.53,83
DBN,,0.9386686611817502,0.5780876914949815,1251.0,4.0,11.0,71.0,0.61,0.52,0.53,82
DBN,,0.8982797307404637,0.5984204965662968,1191.0,10.0,71.0,65.0,0.54,0.54,0.54,136
DBN,,0.9379207180254301,0.5834759640781829,1250.0,4.0,12.0,71.0,0.6,0.52,0.53,83
DBN,,0.8982797307404637,0.480338087691495,1191.0,10.0,71.0,65.0,0.54,0.54,0.54,136
DBN,,0.9379207180254301,0.3682514527205494,1250.0,4.0,12.0,71.0,0.6,0.52,0.53,83
DBNB,,0.7599102468212415,0.6066719492868463,986.0,30.0,276.0,45.0,0.53,0.59,0.51,321
DBNB,,0.8137621540762902,0.5396830427892235,1068.0,20.0,194.0,55.0,0.52,0.56,0.52,249
DBNB,,0.8601346297681376,0.5054252509244586,1136.0,14.0,126.0,61.0,0.52,0.54,0.53,187
DBNB,,0.6821241585639491,0.5714580031695721,879.0,33.0,383.0,42.0,0.52,0.57,0.47,425
DBNB,,0.7539267015706806,0.5843264659270998,979.0,29.0,283.0,46.0,0.52,0.58,0.5,329
DBNB,,0.7756170531039641,0.6091389329107236,1009.0,28.0,253.0,47.0,0.53,0.59,0.51,300
DBNB,,0.6028421839940165,0.6116006339144215,759.0,47.0,503.0,28.0,0.52,0.61,0.45,531
DBNB,,0.6611817501869858,0.6910248283148441,838.0,46.0,424.0,29.0,0.53,0.64,0.48,453
DBNB,,0.7015706806282722,0.587649234020074,907.0,31.0,355.0,44.0,0.52,0.57,0.48,399
DBNB,,0.6970830216903515,0.5574801901743266,903.0,29.0,359.0,46.0,0.51,0.55,0.47,405
setting-10.txt,"2275, 39, 3240, 298, 2061, 1967, 2710, 886, 2201, 3129",0.8982797307404637,0.8472530375066033,1169.0,32.0,93.0,43.0,0.61,0.68,0.63,136
setting-15.txt,"3328, 3484, 2728, 457, 1482, 747, 845, 1679, 2292, 1880, 249, 1023, 796, 29, 3129",0.9057591623036649,0.867390385631273,,,,,0.65,0.77,0.69,0
setting-20.txt,"3458, 3338, 2956, 540, 2981, 169, 298, 2731, 1196, 448, 2753, 718, 2896, 351, 3039, 2406, 105, 746, 2025, 111",0.922,0.884,1188.0,45.0,74.0,30.0,0.68,0.77,0.72,104
setting-25.txt,"2432, 1797, 2189, 1948, 927, 1832, 1325, 3506, 3509, 3510, 1463, 2485, 1981, 958, 194, 77, 2260, 3285, 1119, 2277, 487, 1514, 1388, 1516, 3325",0.9162303664921466,0.8798943475964077,1180.0,45.0,82.0,30.0,0.66,0.77,0.7,112
setting-30.txt,"1033, 1546, 2061, 2062, 527, 2710, 1322, 1067, 1967, 2998, 2105, 1471, 1999, 850, 339, 2770, 1246, 1504, 3168, 2273, 2403, 2531, 2275, 2020, 2151, 378, 1263, 1139, 889, 2426",0.9102468212415856,0.8691019545694664,1175.0,42.0,87.0,33.0,0.65,0.75,0.68,120
